Chinese Name,English Name,Description,Location,Date,URL
"備註: 中文名稱若為 ""N/A""，則使用英文名稱作為備用。",,,,,
珠頸斑鳩,Spilopelia chinensis,亞洲大部分地區的常見的庭園鳥類，在開闊的森林、田野及公園中均可見。通常溫和而易於接近。整體褐色，胸部玫瑰紅色，頸背還有獨特的黑底白點斑塊。羽毛隨地區有輕微差異：分布區西部的個體翅膀羽毛的中軸有黑色條紋，是東部個體沒有的(臺灣屬東部個體，沒有顯眼的黑色中軸)。金背鳩體型較大，翅膀羽毛中心黑色，頸背是條紋而非斑點。大聲的咕咕聲，常是：「古-戶～固」。由MERLIN技術支援,"Ma Liu Shui, Hong Kong",11日 6月 2025年,https://ebird.org/species/spodov/HK
夜鷺,Nycticorax nycticorax,敦實的鷺頸部通常缩起來。成鳥整體淡灰色，黑色頂和背部。 紅眼睛。 亞成鳥明顯不同，褐色有斑紋，黃色眼睛。 白天常常蹲在懸垂的樹枝下。 夜間獵食青蛙和其他獵物。 在它與黃頂夜鷺共存的地方，注意翼覆羽上大型淚珠狀白點，這是黃頂夜鷺沒有的特徵。由MERLIN技術支援,"Ma Liu Shui, Hong Kong",11日 6月 2025年,https://ebird.org/species/bcnher/HK
小白鷺,Egretta garzetta,小型雪白的鷺，有細長的黑色嘴，偏黑色的腿和淡黃色腳（或“金色拖鞋”）。繁殖期成鳥有兩條細長的頭部飾羽，在下背部有白色簑狀飾羽（“白鷺飾羽”）。在各種各樣的濕地，湖泊，河流和河口-幾乎任何有小魚的地方都很常見。單獨或以鬆散的小群體活動；共同築巢和棲息。在其體型範圍內是獨特的，但是常與較大的大白鷺和中白鷺，及較壯的黃頭鷺相比。由MERLIN技術支援,"Ma Liu Shui, Hong Kong",11日 6月 2025年,https://ebird.org/species/litegr/HK
白頭翁,Pycnonotus sinensis,不僅在花園與公園，也棲息於森林中的常見鵯科鳥類。在其大部分亞種中，成鳥大多具有棕綠色的翅膀，白色的腹部、喉部、耳部和頭頂。海南亞種則是頭部大部分為黑色，只有耳部為白色。幼鳥整體為暗褐色調，腹部白色，翅膀有一絲綠色。常見的鳴叫聲為四個音符為一組的曲調：wee-wee-der-wee！由MERLIN技術支援,"Ma Liu Shui, Hong Kong",11日 6月 2025年,https://ebird.org/species/livbul1/HK
紅耳鵯,Pycnonotus jocosus,中型鳴禽，背部棕色而腹部白色，冠羽黑色而高聳，胸前有一圈黑色環紋，但於胸口處並未連結。具一小撮紅色耳羽、紅色尾下覆羽及白色尾尖。原產於印度與東南亞；在美國的洛杉磯與邁阿密地區被人為引入。常成對或成小群一同活動。由MERLIN技術支援,"Ma Liu Shui, Hong Kong",11日 6月 2025年,https://ebird.org/species/rewbul/HK
黑領椋鳥,Gracupica nigricollis,不會認錯的大型黑白椋鳥，有黃色的臉和細長的喙。不怕人，常在公園及庭院的草坪和農田覓食。成鳥有白色頭部和腹部，黑色領斑、翅膀和尾羽。幼鳥頭部灰褐色，沒有成鳥的領斑，翅膀上的白色較少。雌雄鳥外型相似。其嘹亮躍動的鳴唱為人熟知，常在電線桿或路燈等暴露的棲枝上鳴唱。由MERLIN技術支援,"Ma Liu Shui, Hong Kong",11日 6月 2025年,https://ebird.org/species/bkcsta1/HK
八哥(冠八哥),Acridotheres cristatellus,擁有閃亮白色翼斑，嘴基上方豎起小巧羽冠的漆黑鳥類。常出現在農地、公園和都市等人造環境；經常在建築物和路標上築巢，並成小群在分隔島和垃圾堆覓食。其大部分原生地內唯一的黑色八哥。偶爾在停棲和覓食時會與椋鳥混群。由MERLIN技術支援,"Ma Liu Shui, Hong Kong",11日 6月 2025年,https://ebird.org/species/cremyn/HK
麻雀,Passer montanus,這個常見的歐亞物種是家麻雀的近親。比家麻雀體型稍微要小一點，整個頭頂為紅色，頰部為黑色及白色，喉部為黑色。雄鳥與雌鳥外觀相似。常成小群活動，常出現在比喜愛現代建築的家麻雀更自然的棲地。嗜食植物種子。被人為引入至美國中部的一個小區域，以及澳洲東南部。由MERLIN技術支援,"Ma Liu Shui, Hong Kong",11日 6月 2025年,https://ebird.org/species/eutspa/HK
四聲杜鵑,Cuculus micropterus,體型纖瘦的灰白色杜鵑。響亮且遠傳的鳴唱聲：四音節的哨音，似“光棍好苦”或“割麥割谷”。成鳥體型及羽色似北方中杜鵑、中杜鵑和大杜鵑，但注意深色虹膜和羽色較深的背及雙翼。幼鳥羽色斑駁，常見其近白的頭頂、領紋及帶白邊的飛羽。偏好林地、林緣及公園等地。巢寄生於多種鳥類，包括各種喜鵲、伯勞、卷尾等。由MERLIN技術支援,Hong Kong,11日 6月 2025年,https://ebird.org/species/indcuc1/HK
海南藍仙鶲,Cyornis hainanus,"A small flycatcher found in the midstory of both wooded and bamboo forests in lowland and hill regions. In much of range, male is dazzling sapphire-blue with a dirty-white belly; lack of other markings or warm coloration distinguishes it from other flycatchers. In western parts of the range (formerly treated as a subspecies of Blue-throated Flycatcher), males have an orange upper breast and “notch” in the otherwise blue lower throat. Female is brown with a pale orange throat and chest. Often joins mixed flocks. Song is a short but pleasant and generally descending high-pitched series, typically incorporating whistled and trilled phrases. Call is sharp “tsik-tsik-tsik”, akin to scissors snipping.由MERLIN技術支援",Hong Kong,11日 6月 2025年,https://ebird.org/species/habfly1/HK
赤紅山椒鳥,Pericrocotus speciosus,"Brilliantly-colored forest bird, typically encountered in flocks. Coloration varies significantly throughout wide distribution, with males ranging from black-and-crimson (most of mainland Asia) to black-and-yellow (southern Philippines) and black-and-orange (Java and Bali). Females are predominantly gray-and-yellow, but southern Philippine and western Indonesian birds are black-and-yellow. In all subspecies, note colored “blotches” on the wings (other minivets have cleaner wing patterns) and female’s yellow forehead. Gives high whistled “wheeep” notes, often when flying over the treetops.由MERLIN技術支援",Hong Kong,11日 6月 2025年,https://ebird.org/species/scamin1/HK
噪鵑,Eudynamys scolopaceus,大型的杜鵑，羽色獨特，通常行為隱密，棲息於許多棲地類型的濃密樹冠內，甚至市中心也可發現。雄成鳥為帶有光澤的黑色，嘴為略帶黃綠的灰白色；雌鳥及未成鳥黑褐，翅膀有白點，頭及喉部有濃密縱斑。成鳥眼睛為寶石紅。雌鳥會產卵於其他大型鳥的巢中，包括烏鴉、伯勞和椋鳥。鳴唱聲「ko-EL!」很大聲且持久，像孔雀的叫聲。由MERLIN技術支援,"嶺南大學及鄰近地帶 Lingnan University (Campus and Vicinity), Hong Kong",11日 6月 2025年,https://ebird.org/species/asikoe2/HK
白眉燕鷗,Onychoprion anaethetus,擁有灰色背部、黑色頭頂及白色前額的熱帶燕鷗。不在北美繁殖，只出現在溫暖水域的海面上。除了因暴風席捲，很少出現在陸地附近。經常棲息在遠離岸邊的浮木或其他漂浮物上。最相似於烏領燕鷗，但背部顏色較淡、尾部白邊較寬，飛羽底面顏色較淺。幼鳥頭部偏白，翅膀及背部有淡色條紋。由MERLIN技術支援,"Cheung Chau waterfront, Hong Kong",11日 6月 2025年,https://ebird.org/species/briter1/HK
蒼燕鷗,Sterna sumatrana,溫暖熱帶海洋的中型長翅長尾燕鷗。成鳥除從眼睛向後延伸至枕部的黑色細紋（通常從遠處看不是很明顯），最外側初級飛羽的黑色外緣，以及細長的黑色嘴喙之外，看起來是雪白的。覓食時經常來回巡飛，輕巧地從水面處啄取獵物。飛行輕快，經常與白眉燕鷗、紅燕鷗及鳳頭燕鷗混群。繁殖群落位在岩石海島及岬角。鳴聲為嘈雜的「grrri」聲。由MERLIN技術支援,"Cheung Chau waterfront, Hong Kong",11日 6月 2025年,https://ebird.org/species/blnter1/HK
紅燕鷗,Sterna dougallii,優雅的蒼白燕鷗，尾叉極長。因腹部隱約的玫瑰色澤而命名。繁殖羽的喙部全黑；夏末時，嘴基逐漸變紅。與(普通)燕鷗相似，但翅膀明顯更白。熟練後，尋找淺而急的振翅，可與其他種燕鷗區分。遍布全球，但於當地，在分散的群落繁殖。在海灘、泥灘或河口與其他燕鷗混合成群。鳴聲為粗糙的「chivick」聲。由MERLIN技術支援,"Cheung Chau waterfront, Hong Kong",11日 6月 2025年,https://ebird.org/species/roster/HK
原鴿,Columba livia,常見於世界各地的城市、農地及穀倉的大型鳩鴿。野生個體通常在懸崖上築巢，而逸出野化的個體則已適應在大樓及橋樑等高大建築上築巢。野化及馴養有十分各種顏色變異；大多數是灰色，但可以是完全黑色、白色或橙棕色。由MERLIN技術支援,"嶺南大學及鄰近地帶 Lingnan University (Campus and Vicinity), Hong Kong",11日 6月 2025年,https://ebird.org/species/rocpig/HK
